id,type,source,title,content,content_length,meta_scientific_name,meta_common_name,meta_family,meta_genus,meta_native,meta_conservation_status,meta_wikipedia_url,meta_observations_count
species_870496,species,iNaturalist,Horse Crippler Cactus (Homalocephala texensis),"# Horse Crippler Cactus
*Homalocephala texensis*

**Taxonomy:** Family: Cactaceae, Genus: Homalocephala

## Description
Echinocactus texensis (also known as the horse crippler or devil's pincushion) is a cactus in the subfamily Cactoideae. It is endemic to the United States and Mexico. It has one synonym.

*4959 observations recorded in Arizona*
",348,Homalocephala texensis,Horse Crippler Cactus,Cactaceae,Homalocephala,False,,https://en.wikipedia.org/wiki/Homalocephala texensis,4959
species_870498,species,iNaturalist,Cottontop Cactus (Homalocephala polycephala),"# Cottontop Cactus
*Homalocephala polycephala*

**Taxonomy:** Family: Cactaceae, Genus: Homalocephala

## Description
Echinocactus polycephalus is a cactus that occurs in the Mojave Desert region of Arizona, California, and Nevada. It also occurs in the Sonoran Desert region of southern California and northern Sonora, Mexico.

*7465 observations recorded in Arizona*
",369,Homalocephala polycephala,Cottontop Cactus,Cactaceae,Homalocephala,False,,https://en.wikipedia.org/wiki/Echinocactus_polycephalus,7465
species_53344,species,iNaturalist,blackwood (Acacia melanoxylon),"# blackwood
*Acacia melanoxylon*

**Taxonomy:** Family: Fabaceae, Genus: Acacia

## Description
Acacia melanoxylon, commonly known as the Australian blackwood, is an Acacia species native in eastern Australia. The species is also known as Sally wattle, lightwood, hickory, mudgerabah, Tasmanian blackwood, black wattle or blackwood acacia.

*24120 observations recorded in Arizona*
",382,Acacia melanoxylon,blackwood,Fabaceae,Acacia,False,,https://en.wikipedia.org/wiki/Acacia melanoxylon,24120
species_53343,species,iNaturalist,Silver wattle (Acacia dealbata),"# Silver wattle
*Acacia dealbata*

**Taxonomy:** Family: Fabaceae, Genus: Acacia

## Description
Acacia dealbata (known as silver wattle, blue wattle or mimosa) is a species of Acacia, native to southeastern Australia in New South Wales, Victoria, Tasmania, and the Australian Capital Territory and widely introduced in Mediterranean, warm temperate, and highland tropical landscapes.

*23212 observations recorded in Arizona*
",427,Acacia dealbata,Silver wattle,Fabaceae,Acacia,False,,https://en.wikipedia.org/wiki/Acacia dealbata,23212
species_1493097,species,iNaturalist,screwbean (Strombocarpa pubescens),"# screwbean
*Strombocarpa pubescens*

**Taxonomy:** Family: Fabaceae, Genus: Strombocarpa

## Description
Prosopis pubescens, commonly known as screwbean mesquite, is a species of flowering shrub or small tree in the pea family, Fabaceae, that is native to the southwestern United States (Texas, Arizona, New Mexico, California, southern Nevada and Utah) and northern Mexico (Baja California, Chihuahua, Coahuila, Sonora).

*2199 observations recorded in Arizona*
",464,Strombocarpa pubescens,screwbean,Fabaceae,Strombocarpa,False,,https://en.wikipedia.org/wiki/Prosopis_pubescens,2199
species_321642,species,iNaturalist,Mason Valley Cholla (Cylindropuntia fosbergii),"# Mason Valley Cholla
*Cylindropuntia fosbergii*

**Taxonomy:** Family: Cactaceae, Genus: Cylindropuntia

## Description
Cylindropuntia fosbergii is a species of cactus known by the common names Hoffmann's teddybear cholla, pink teddy-bear cholla, and Mason Valley cholla. It is endemic to south-eastern California where its range is restricted to the flats and hillsides of a very limited area in the region of Anza-Borrego Desert State Park in the western Sonoran Desert.

*6024 observations recorded in Arizona*
",515,Cylindropuntia fosbergii,Mason Valley Cholla,Cactaceae,Cylindropuntia,False,,https://en.wikipedia.org/wiki/Cylindropuntia fosbergii,6024
species_1493099,species,iNaturalist,argentine screwbean (Strombocarpa strombulifera),"# argentine screwbean
*Strombocarpa strombulifera*

**Taxonomy:** Family: Fabaceae, Genus: Strombocarpa

## Description
 Strombocarpa strombulifera (formerli Prosopis strombulifera) is a species of mesquite or algarrobo, a shrub in the legume family. It is known by the English common names Argentine screwbean and creeping screwbean and the Spanish common name retortuño. This shrub is native to Argentina, where it grows in arid and saline soils. It became well known in California after it was introduced to Imperial County and took hold in the wild, growing as an invasive noxious...

*393 observations recorded in Arizona*
",628,Strombocarpa strombulifera,argentine screwbean,Fabaceae,Strombocarpa,False,,https://en.wikipedia.org/wiki/Strombocarpa strombulifera,393
species_276586,species,iNaturalist,Great Desert Spoon (Dasylirion acrotrichum),"# Great Desert Spoon
*Dasylirion acrotrichum*

**Taxonomy:** Family: Asparagaceae, Genus: Dasylirion

## Description
Dasylirion acrotrichum, the great desert spoon and green sotol (also, spoon yucca, though not a true Yucca now), is a plant native to the Chihuahuan Desert and other xeric habitats in northern and central Mexico.

*2240 observations recorded in Arizona*
",371,Dasylirion acrotrichum,Great Desert Spoon,Asparagaceae,Dasylirion,False,,https://en.wikipedia.org/wiki/Dasylirion acrotrichum,2240
species_1493104,species,iNaturalist,White Carob Tree (Neltuma alba),"# White Carob Tree
*Neltuma alba*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Prosopis alba is a South American tree species that grows in central Argentina, the Gran Chaco ecoregion, and part of the Argentine Mesopotamia, as well as Bolivia, Chile, Paraguay, and Peru. It is known as algarrobo blanco ('white carob tree') in Spanish. Spanish settlers gave it that name because of its similarity to the European carob tree (Ceratonia siliqua). Other common names come from Guaraní, including ibopé and igopé.

**Status:** Conservation Status: NT

*1323 observations recorded in Arizona*
",607,Neltuma alba,White Carob Tree,Fabaceae,Neltuma,False,NT,https://en.wikipedia.org/wiki/Prosopis_alba,1323
species_1544307,species,iNaturalist,Los Cabos Nipple Cactus (Cochemiea armillata),"# Los Cabos Nipple Cactus
*Cochemiea armillata*

**Taxonomy:** Family: Cactaceae, Genus: Cochemiea

## Description
Cochemiea armillata is a species of Cochemiea found in Mexico.

**Status:** Conservation Status: VU

*1270 observations recorded in Arizona*
",256,Cochemiea armillata,Los Cabos Nipple Cactus,Cactaceae,Cochemiea,False,VU,https://en.wikipedia.org/wiki/Cochemiea armillata,1270
species_63603,species,iNaturalist,blue palo verde (Parkinsonia florida),"# blue palo verde
*Parkinsonia florida*

**Taxonomy:** Family: Fabaceae, Genus: Parkinsonia

## Description
Parkinsonia florida, the blue palo verde (syn. Cercidium floridum), is a species of palo verde native to the Sonoran Deserts in the Southwestern United States and Northwestern Mexico. Its name means ""green pole or stick"" in Spanish, referring to the green trunk and branches, that perform photosynthesis.

*8154 observations recorded in Arizona*
",454,Parkinsonia florida,blue palo verde,Fabaceae,Parkinsonia,False,,https://en.wikipedia.org/wiki/Parkinsonia florida,8154
species_1493114,species,iNaturalist,calden (Neltuma caldenia),"# calden
*Neltuma caldenia*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Neltuma caldenia (formerly Prosopis caldenia), commonly known as the caldén, is a species of flowering tree in the family Fabaceae. The tree is endemic to subtropical regions of Argentina. It thrives in sandy and arid soil and resists drought, developing an extremely deep root system. The leaves of this tree are pinnately compound, deciduous, alternate and small. Its foliage is tortuous, with conical spines arranged in pairs at the nodes.

*655 observations recorded in Arizona*
",575,Neltuma caldenia,calden,Fabaceae,Neltuma,False,,https://en.wikipedia.org/wiki/Neltuma caldenia,655
species_204924,species,iNaturalist,Queen Victoria Agave (Agave victoriae-reginae),"# Queen Victoria Agave
*Agave victoriae-reginae*

**Taxonomy:** Family: Asparagaceae, Genus: Agave

## Description
Agave victoriae-reginae (Queen Victoria agave, royal agave) is a small species of succulent flowering perennial plant, noted for its streaks of white on sculptured geometrical leaves, and popular as an ornamental.

*1882 observations recorded in Arizona*
",370,Agave victoriae-reginae,Queen Victoria Agave,Asparagaceae,Agave,False,,https://en.wikipedia.org/wiki/Agave victoriae-reginae,1882
species_204926,species,iNaturalist,Mexican Pony Tail Palm (Beaucarnea gracilis),"# Mexican Pony Tail Palm
*Beaucarnea gracilis*

**Taxonomy:** Family: Asparagaceae, Genus: Beaucarnea

## Description
Beaucarnea gracilis is an attractive member of the subfamily Nolinaceae of the family Asparagaceae native to partial-desert areas in Mexico. Its name ""gracilis"", meaning ""slender"", is misleading, as its trunk is especially bulbous. It was formerly known as Nolina gracilis.

**Status:** Conservation Status: EN

*1206 observations recorded in Arizona*
",470,Beaucarnea gracilis,Mexican Pony Tail Palm,Asparagaceae,Beaucarnea,False,EN,https://en.wikipedia.org/wiki/Beaucarnea gracilis,1206
species_1544319,species,iNaturalist,Common Fishhook Cactus (Cochemiea tetrancistra),"# Common Fishhook Cactus
*Cochemiea tetrancistra*

**Taxonomy:** Family: Cactaceae, Genus: Cochemiea

## Description
Cochemiea tetrancistra is a species of fishhook cactus known by the common name common fishhook cactus. It is native to the Mojave and Sonoran Deserts of northern Mexico and the southwestern United States, where it grows in a variety of desert habitat types.

*3105 observations recorded in Arizona*
",417,Cochemiea tetrancistra,Common Fishhook Cactus,Cactaceae,Cochemiea,False,,https://en.wikipedia.org/wiki/Cochemiea tetrancistra,3105
species_1493119,species,iNaturalist,Chilean Mesquite (Neltuma chilensis),"# Chilean Mesquite
*Neltuma chilensis*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Neltuma chilensis (formerly Prosopis chilensis) is a species of tree in the genus Prosopis, belonging to the family Fabaceae. It is found in parts of central Chile, southern Peru, Bolivia, and Andean (northwestern) Argentina. Its common names include Chilean mesquite (algarrobo chileno, in Spanish), cupesí (in eastern Bolivia), and Chilean algarrobo. It is used for providing shade, for animal feed, and firewood.

*998 observations recorded in Arizona*
",559,Neltuma chilensis,Chilean Mesquite,Fabaceae,Neltuma,False,,https://en.wikipedia.org/wiki/Neltuma chilensis,998
species_1493134,species,iNaturalist,honey mesquite (Neltuma glandulosa),"# honey mesquite
*Neltuma glandulosa*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Neltuma glandulosa, formerly Prosopis glandulosa, commonly known as honey mesquite, is a species of small to medium-sized, thorny shrub or tree in the legume family (Fabaceae).

*33006 observations recorded in Arizona*
",321,Neltuma glandulosa,honey mesquite,Fabaceae,Neltuma,False,,https://en.wikipedia.org/wiki/Neltuma glandulosa,33006
species_1493141,species,iNaturalist,mesquite (Neltuma juliflora),"# mesquite
*Neltuma juliflora*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Prosopis juliflora (Spanish: bayahonda blanca, Cuji Venezuela, Trupillo Colombia, Aippia Wayuunaiki and long-thorn kiawe in Hawaii) is a shrub or small tree in the family Fabaceae, a kind of mesquite. It is native to Mexico, South America and the Caribbean. It has become established as an invasive weed in Africa, Asia, Australia and elsewhere. It is a contributing factor to continuing transmission of malaria, especially during dry periods when sugar sources from native plants are...

*6275 observations recorded in Arizona*
",624,Neltuma juliflora,mesquite,Fabaceae,Neltuma,False,,https://en.wikipedia.org/wiki/Neltuma juliflora,6275
species_1493145,species,iNaturalist,Smooth Mesquite (Neltuma laevigata),"# Smooth Mesquite
*Neltuma laevigata*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Neltuma laevigata (formerly Prosopis laevigata), commonly known as smooth mesquite, is a species of flowering tree in the pea family, Fabaceae, that is native to Mexico and Texas. In Mexico, the species is found in the nation's the central highlands, the lowlands of southern Tamaulipas, and in parts of Oaxaca, Morelos, Puebla, and Chiapas. It grows on a variety of sites on hillslides, in depressions, and along floodplains. It has been spotted growing in the Middle...

*3536 observations recorded in Arizona*
",615,Neltuma laevigata,Smooth Mesquite,Fabaceae,Neltuma,False,,https://en.wikipedia.org/wiki/Neltuma laevigata,3536
species_59549,species,iNaturalist,Large-leaved lupine (Lupinus polyphyllus),"# Large-leaved lupine
*Lupinus polyphyllus*

**Taxonomy:** Family: Fabaceae, Genus: Lupinus

## Description
Lupinus polyphyllus (large-leaved lupine, big-leaved lupine, many-leaved lupine or, primarily in cultivation, garden lupin) is a species of lupine (lupin) native to western North America from southern Alaska and British Columbia east to Quebec, and western Wyoming, and south to Utah and California. It commonly grows along streams and creeks, preferring moist habitats.

*51359 observations recorded in Arizona*
",521,Lupinus polyphyllus,Large-leaved lupine,Fabaceae,Lupinus,False,,https://en.wikipedia.org/wiki/Lupinus polyphyllus,51359
species_131229,species,iNaturalist,Broad-lipped Twayblade (Neottia convallarioides),"# Broad-lipped Twayblade
*Neottia convallarioides*

**Taxonomy:** Family: Orchidaceae, Genus: Neottia

## Description
Neottia convallarioides is a species of orchid known by the common names broad-lipped twayblade and broad-leaved twayblade. It was formerly placed in the genus Listera, but molecular phylogenetic studies have shown that Neottia nidus-avis, the bird's-nest orchid, evolved within the same group, and all species of Listera have been moved to Neottia.

*893 observations recorded in Arizona*
",508,Neottia convallarioides,Broad-lipped Twayblade,Orchidaceae,Neottia,False,,https://en.wikipedia.org/wiki/Neottia convallarioides,893
species_75933,species,iNaturalist,pink fairy-duster (Calliandra eriophylla),"# pink fairy-duster
*Calliandra eriophylla*

**Taxonomy:** Family: Fabaceae, Genus: Calliandra

## Description
Calliandra eriophylla, commonly known as fairy duster, is a low spreading shrub which is native to deserts and arid grasslands in California, Arizona, New Mexico and Texas and Mexico.

*4841 observations recorded in Arizona*
",336,Calliandra eriophylla,pink fairy-duster,Fabaceae,Calliandra,False,,https://en.wikipedia.org/wiki/Calliandra eriophylla,4841
species_1493156,species,iNaturalist,kiawe (Neltuma pallida),"# kiawe
*Neltuma pallida*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Neltuma pallida (formerly Prosopis pallida) is a species of mesquite tree. It has the common names kiawe (/kiːˈɑːveɪ/) (in Hawaii), huarango (in its native South America) and American carob, as well as ""bayahonda"" (a generic term for Prosopis), ""algarrobo pálido"" (in some parts of Ecuador and Peru), and ""algarrobo blanco"" (usually used for Prosopis alba). It is a thorny legume, native to Colombia, Ecuador and Peru, particularly drier areas near the coast. While threatened in its...

*1434 observations recorded in Arizona*
",618,Neltuma pallida,kiawe,Fabaceae,Neltuma,False,,https://en.wikipedia.org/wiki/Neltuma pallida,1434
species_143525,species,iNaturalist,Eyed Baileya Moth (Baileya ophthalmica),"# Eyed Baileya Moth
*Baileya ophthalmica*

**Taxonomy:** Family: Nolidae, Genus: Baileya

## Description
Baileya ophthalmica, the eyed baileya, is a species of nolid moth in the family Nolidae. It is found in North America.

*3025 observations recorded in Arizona*
",265,Baileya ophthalmica,Eyed Baileya Moth,Nolidae,Baileya,False,,https://en.wikipedia.org/wiki/Baileya ophthalmica,3025
species_809132,species,iNaturalist,Schaffner's acacia (Vachellia schaffneri),"# Schaffner's acacia
*Vachellia schaffneri*

**Taxonomy:** Family: Fabaceae, Genus: Vachellia

## Description
Vachellia schaffneri (twisted acacia or Schaffner's acacia) is a tree native to Mexico and the United States (Texas).

*2238 observations recorded in Arizona*
",269,Vachellia schaffneri,Schaffner's acacia,Fabaceae,Vachellia,False,,http://en.wikipedia.org/wiki/Vachellia_schaffneri,2238
species_49325,species,iNaturalist,ocotillo (Fouquieria splendens),"# ocotillo
*Fouquieria splendens*

**Taxonomy:** Family: Fouquieriaceae, Genus: Fouquieria

## Description
Fouquieria splendens (commonly known as ocotillo American Spanish: , but also referred to as coachwhip, candlewood, slimwood, desert coral, Jacob's staff, Jacob cactus, and vine cactus) is a plant indigenous to the Sonoran Desert and Chihuahuan Desert in the Southwestern United States (southern Nevada, Arizona, New Mexico, Texas), and northern Mexico (as far south as Hidalgo and Guerrero).

*40640 observations recorded in Arizona*
",542,Fouquieria splendens,ocotillo,Fouquieriaceae,Fouquieria,False,,https://en.wikipedia.org/wiki/Fouquieria splendens,40640
species_1493168,species,iNaturalist,velvet mesquite (Neltuma velutina),"# velvet mesquite
*Neltuma velutina*

**Taxonomy:** Family: Fabaceae, Genus: Neltuma

## Description
Neltuma velutina (formerly Prosopis velutina), commonly known as velvet mesquite, is a small to medium-sized tree. It is a legume adapted to a dry, desert climate. Though considered to be a noxious weed in states outside its natural range, it plays a vital role in the ecology of the Sonoran Desert.

*8465 observations recorded in Arizona*
",442,Neltuma velutina,velvet mesquite,Fabaceae,Neltuma,False,,https://en.wikipedia.org/wiki/Neltuma velutina,8465
